Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
noxioussweetconnections.carisss.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
jerode.ga,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
ytv.co.jp,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
today.uci.edu,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
spket.com,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
americanauctioneers.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
yrislfnb.qpoe.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
heramission.space,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
circlek.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
gunsmokenet.com,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
bocajnarima.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
raw-health-coach.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
soah-b6mz-v.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
dlrect-smtb.jp.ap1.ib.commetryx.com,0,0,1,3,0,0,1,1,1,1,1,1,1,1,1,0
estamos.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
b7a3a060b75c7dcba9c1078d4ead51f0dc.ws,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
airlinesupports.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
198.98.58.123,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
ipfs.io,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0
ackerstadtpalast.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
mro.nmt.edu,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
aresync.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
shopfiire.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
doc88.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
jab.oss-ap-southeast-1.aliyuncs.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
hee.nhs.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
secondgeargames.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
usbirthcertificates.com,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
dslweb.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
constructiongst.com,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
westleyr.cf,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
021.rs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
brainy.games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
irgendwie-nerdig.de,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
peachstatearchaeologicalsociety.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
jazzmasters.nl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
syk1pe9wox.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
londondesignbiennale.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
honneur-au-scoutisme.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
glaze-maple-pantry.glitch.me,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
leonardodavinci.net,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
host-authoritsaativeax.mefound.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
art.yale.edu,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
securitycamera-at-2022.life,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
isuog.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
hostmaster.ua,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
bigconstrutora.com.br,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
iain-ternate.ac.id,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
l3a40b16a45b1120615b5d1cc655d7da4a.ws,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
colorii.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
pwuxmeudaj.cf,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
elcalifa.com.mx,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
art-it.asia,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
forcedie17.temp.swtest.ru,0,0,1,5,0,0,0,0,0,0,1,1,1,1,1,0
apptha.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
zomoplus.store,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
drskinhealth.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
sebastians.cf,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
lovebeehive.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
acesseonline-fevereiro.net,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
cieletespace.fr,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
nataschavonhirschhausen.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
borizcustomsportsjerseys.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
virtualcohen.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
smujo.id,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
otwtmbrotq.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
ecseonline.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kerstopkeukenhof.nl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
wp-amazon-plugin.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
acc.co.nz,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
noticiasdealava.eus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
enerjoy.life,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
qatargenome.org.qa,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
idigbio.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
energy-community.org,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
tcdsu.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
biomagazin.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
att-104569.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
interislander.co.nz,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
reflectionofsanity.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
fernandoalonso.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
acsa-arch.org,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
southlandcasino.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
7marvels.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
secrethitler.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
perte-dimension.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
groupfacilitation.net,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kiteman.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
libertarian.ca,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
gumtree.com.au,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
gmarket.system-ns.org,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ichijinsha.co.jp,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ags.school.nz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
mapsalud.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
rakennuslehti.fi,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
psd-dude.com,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
ihub-tansa.jaxa.jp,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
shoppersshop.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
extensionmethod.net,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ireallytrade.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
broesels-buecherregal.de,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
ijesc.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
grundeinkommen.ch,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
btopenworldwebmailing.square.site,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
visualize-detalhes-online.com,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
rusticity.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
esurranty.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
hallekis.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
fgurb.cannca.shop,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
observatoryoc.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
creamwine.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
slow-journalism.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
narcissisticabuserehab.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
mercatus.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
dellsramada.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
zadar.hr,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
discovershelby.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
enowsoftware.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
securitywatchplatform.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
bsd.fbcode.co,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
muas.cz,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
pidgin.im,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
elron.ee,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
bischberg.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
stmfl.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
walemi.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
anilreddydev.github.io,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
squirrelsave.com.sg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
ajman.travel,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
madpath.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
ccm.or.tz,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
dadivosa.com.br,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
dreamlikediana.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1stsource.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
hoststudio.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
am2fcu.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
f0534243.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
claimbestdeal.com,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0
ebnkng-ch2.wrkbenchh.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
ideardonot.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
mtwilson.edu,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ethmining.info,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
theadanews.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
web2.hashgains.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
mayfield.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
imidaily.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
beppedepalma.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
onlinequranteaching.com,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0
christianheadlines.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
concretonline.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
mail-nepalarmy-mil-np-login-download.netlify.app,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
hfdkegjsd.ru.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
areadevelopment.com,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1
childbrides.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
pureecoinc.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
siia.net,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
feelmagazine.nl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
googleimg.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
cerise.tokyo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ianacurtis.rmxcontabilidade.com.br,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
foodnavigator.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
s.amazenru-jp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
mamiworks.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
wifizone.org,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
arthurveterinaryclinic.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
thecomfortcompany.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
rfde-107a7.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
stir.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
vinted-pl-gj32d.lanru.top,0,0,1,2,0,0,1,1,0,0,1,1,1,1,1,0
discoverbristol.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
it-internet-design.de,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
openautoalliance.net,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
grossi.com.au,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
plainfeld.salzburg.at,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
lesaffaires.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
sikhsiyasatapp.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
adamwalton.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
pony4.microsoftups.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
objectstorage.ap-singapore-1.oraclecloud.com,0,0,1,6,0,0,0,1,0,1,1,0,0,1,0,0
meccanoindex.co.uk,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
thetoc.gr,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
mandsenergy.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
eth-pos.cc,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
play.stream.vidzi.tv,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
mw.lt,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
edisonlearning.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
uniswap-event.org,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
tiffany.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
poppinsonmackinac.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
beemail.online,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
storageapi.fleek.co,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0
nssz.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
oxhow.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
visual-home.es,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
mealsonwheels4u.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
scottishmaritimemuseum.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
paygo.lk,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
burghdogs.com,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
915783.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
na1.player1532.com,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
kurzurlaub.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
grpva.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
fb-business-appeal-4066b.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
attcom-102201.square.site,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
climate.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
upyq8ess.dreamwp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
fb-business-appeal-57a8f.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
rewildingchile.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
megcampbelldesigns.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
s.id,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
web-design.review,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
birding.in,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
wcs.k12.va.us,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
jaysonjewelers.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
thenaijatimes.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
paulox.net,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
ci.quartzsite.az.us,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
videogameconsolelibrary.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
abmp.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
